Type,Content,LengthContent,Has-Link,IsSpam
sms,"Huh, anyway check out this you[tube] channel: kobyoshi02",56,0,1
sms,"Hey guys check out my new channel and our first vid THIS IS US THE  MONKEYS!!! I'm the monkey in the white shirt,please leave a like comment  and please subscribe!!!!",166,0,1
sms,just for test I have to say murdev.com,38,0,1
sms,me shaking my sexy ass on my channel enjoy ^_^ ﻿,48,0,1
sms,watch?v=vtaRGgvGtWQ   Check this out .﻿,39,0,1
sms,"Hey, check out my new website!! This site is about kids stuff. kidsmediausa  . com",82,0,1
sms,Subscribe to my channel ﻿,25,0,1
sms,i turned it on mute as soon is i came on i just wanted to check the  views...﻿,78,0,0
sms,You should check my channel for Funny VIDEOS!!﻿,47,0,1
sms,and u should.d check my channel and tell me what I should do next!﻿,67,0,1
sms,Hey subscribe to me﻿,20,0,1
sms, Once you have started reading do not stop. If you do not subscribe to me  within one day you and you're entire family will die so if you want to stay  alive subscribe right now.﻿,179,0,1
sms,https://twitter.com/GBphotographyGB﻿,36,1,1
sms,subscribe like comment﻿,23,0,1
sms,please like :D https://premium.easypromosapp.com/voteme/19924/616375350﻿,72,1,1
sms,"Hello! Do you like gaming, art videos, scientific experiments, tutorials,  lyrics videos, and much, much more of that? If you do please check out our  channel and subscribe to it, we've just started, but soon we hope we will  be able to cover all of our expectations... You can also check out what  we've got so far!﻿",317,0,1
sms,I'm only checking the views﻿,28,0,0
sms,http://www.ebay.com/itm/171183229277?ssPageName=STRK:MESELX:IT&amp;_trksid=p3984.m1555.l2649 ﻿,94,1,1
sms,http://ubuntuone.com/40beUutVu2ZKxK4uTgPZ8K﻿,44,1,1
sms,"We are an EDM apparel company dedicated to bringing you music inspired  designs. Our clothing is perfect for any rave or music festival. We have  NEON crop tops, tank tops, t-shirts, v-necks and accessories! follow us on  Facebook or on instagraml for free giveaways news and more!! visit our site  at OnCueApparel﻿",315,0,1
sms,i think about 100 millions of the views come from people who only wanted to  check the views﻿,93,0,0
sms,subscribe to my channel people :D﻿,34,0,1
sms,Show your AUBURN PRIDE HERE: http://www.teespring.com/tigermeathoodie﻿,70,1,1
sms,just checking the views﻿,24,0,0
sms,CHECK OUT MY CHANNEL,20,0,1
sms,marketglory . com/strategygame/andrijamatf earn real money from game,68,0,1
sms,Hey guys! Im a 12 yr old music producer. I make chiptunes and 8bit music.  It would be wonderful if you checked out some of my 8bit remixes! I even  have a gangnamstyle 8bit remix if you would like to check that out ;)  Thanks!!,228,0,1
sms,Check me out! I'm kyle. I rap so yeah ﻿,39,0,1
